iter	Passed	Remaining
0	145	145116
1	146	73072
2	147	49030
3	147	36850
4	148	29591
5	149	24731
6	149	21255
7	150	18646
8	150	16615
9	151	14980
10	151	13660
11	152	12551
12	153	11619
13	153	10824
14	154	10125
15	154	9508
16	155	8967
17	155	8486
18	156	8062
19	156	7673
20	157	7328
21	157	7014
22	158	6724
23	158	6456
24	159	6213
25	159	5990
26	160	5783
27	160	5587
28	161	5408
29	161	5236
30	162	5081
31	163	4945
32	164	4825
33	165	4713
34	167	4608
35	168	4503
36	169	4409
37	170	4328
38	172	4238
39	173	4158
40	174	4077
41	175	3999
42	176	3928
43	177	3855
44	178	3787
45	179	3719
46	180	3654
47	181	3593
48	182	3534
49	182	3475
50	183	3418
51	184	3365
52	185	3313
53	186	3261
54	186	3211
55	187	3163
56	188	3115
57	188	3069
58	189	3024
59	190	2982
60	191	2940
61	191	2899
62	192	2860
63	192	2822
64	193	2783
65	194	2747
66	194	2711
67	195	2672
68	195	2638
69	196	2605
70	196	2573
71	197	2541
72	197	2510
73	198	2479
74	198	2450
75	199	2421
76	199	2393
77	200	2366
78	200	2339
79	201	2313
80	201	2288
81	202	2263
82	202	2239
83	203	2215
84	203	2190
85	204	2168
86	204	2144
87	204	2123
88	205	2102
89	206	2083
90	206	2063
91	207	2043
92	207	2024
93	208	2005
94	208	1986
95	209	1968
96	209	1950
97	210	1933
98	210	1915
99	211	1899
100	211	1883
101	211	1864
102	212	1849
103	212	1833
104	213	1818
105	214	1804
106	214	1790
107	215	1778
108	215	1764
109	216	1752
110	217	1739
111	217	1726
112	218	1713
113	218	1701
114	219	1689
115	219	1675
116	220	1663
117	221	1652
118	221	1639
119	222	1628
120	222	1617
121	223	1606
122	223	1593
123	224	1583
124	224	1572
125	225	1561
126	225	1551
127	226	1539
128	226	1529
129	227	1519
130	227	1510
131	228	1500
132	228	1491
133	229	1481
134	229	1472
135	230	1463
136	230	1454
137	231	1444
138	231	1435
139	232	1426
140	232	1417
141	233	1409
142	233	1400
143	234	1392
144	234	1383
145	235	1375
146	235	1368
147	236	1360
148	236	1352
149	237	1344
150	237	1336
151	238	1329
152	238	1321
153	239	1314
154	239	1307
155	240	1299
156	240	1292
157	241	1285
158	241	1278
159	242	1271
160	242	1264
161	243	1257
162	243	1251
163	244	1244
164	244	1237
165	245	1231
166	245	1224
167	246	1218
168	246	1212
169	246	1205
170	247	1199
171	247	1193
172	248	1187
173	248	1181
174	249	1175
175	249	1169
176	250	1163
177	250	1157
178	251	1152
179	251	1146
180	251	1139
181	252	1134
182	252	1129
183	253	1123
184	253	1118
185	254	1113
186	254	1107
187	255	1102
188	255	1097
189	256	1092
190	256	1088
191	257	1084
192	258	1079
193	258	1074
194	259	1070
195	259	1065
196	260	1060
197	260	1055
198	261	1051
199	261	1046
200	262	1042
201	262	1037
202	263	1033
203	263	1028
204	264	1024
205	264	1019
206	265	1015
207	265	1011
208	266	1007
209	266	1003
210	267	999
211	267	995
212	268	990
213	268	986
214	269	982
215	269	978
216	270	974
217	270	970
218	271	966
219	271	962
220	272	958
221	272	955
222	272	951
223	273	947
224	273	943
225	274	939
226	274	936
227	275	932
228	275	928
229	276	925
230	276	921
231	277	917
232	277	914
233	278	910
234	278	907
235	279	903
236	279	900
237	280	896
238	280	893
239	281	889
240	281	886
241	281	883
242	282	879
243	282	876
244	283	873
245	283	869
246	284	866
247	284	863
248	285	860
249	285	856
250	286	853
251	286	850
252	287	847
253	287	844
254	288	841
255	288	838
256	289	835
257	289	832
258	290	829
259	290	826
260	291	824
261	291	821
262	291	818
263	292	815
264	292	812
265	293	809
266	293	806
267	294	803
268	294	800
269	295	798
270	295	795
271	296	792
272	296	789
273	297	787
274	297	784
275	297	781
276	298	778
277	298	776
278	299	773
279	299	771
280	300	768
281	300	765
282	301	763
283	301	760
284	302	758
285	302	755
286	303	753
287	303	750
288	304	748
289	304	745
290	305	743
291	305	740
292	306	738
293	306	735
294	306	733
295	307	731
296	307	728
297	308	726
298	308	723
299	309	721
300	309	719
301	310	717
302	310	714
303	311	712
304	311	710
305	312	707
306	312	705
307	313	703
308	313	701
309	313	698
310	314	696
311	314	694
312	315	692
313	315	690
314	316	688
315	317	686
316	318	685
